iter	Passed	Remaining
0	1	156
1	3	154
2	4	148
3	5	140
4	7	140
5	8	138
6	10	137
7	11	137
8	13	137
9	15	135
10	16	134
11	18	133
12	19	132
13	21	130
14	22	128
15	24	126
16	25	125
17	27	123
18	28	122
19	30	120
20	31	119
21	33	118
22	35	117
23	36	115
24	38	114
25	39	112
26	41	111
27	42	109
28	44	108
29	45	106
30	47	105
31	49	104
32	50	102
33	52	101
34	53	100
35	55	98
36	57	97
37	58	95
38	60	94
39	61	92
40	63	91
41	63	88
42	65	86
43	67	85
44	68	83
45	70	82
46	71	80
47	73	79
48	74	77
49	75	75
50	77	74
51	78	72
52	80	71
53	81	69
54	82	67
55	84	66
56	85	64
57	87	63
58	88	61
59	90	60
60	91	58
61	93	57
62	94	55
63	95	53
64	97	52
65	99	51
66	100	49
67	102	48
68	103	46
69	105	45
70	106	43
71	108	42
72	109	40
73	111	39
74	113	37
75	114	36
76	115	34
77	117	33
78	118	31
79	120	30
80	121	28
81	123	27
82	124	25
83	126	24
84	127	22
85	129	21
86	130	19
87	132	18
88	133	16
89	135	15
90	136	13
91	137	11
92	139	10
93	141	9
94	142	7
95	143	5
96	145	4
97	146	2
98	148	1
99	149	0
