iter	Passed	Remaining
0	145	145602
1	146	73213
2	147	48996
3	148	36859
4	148	29579
5	149	24728
6	149	21262
7	150	18657
8	151	16639
9	151	15016
10	152	13689
11	152	12591
12	153	11659
13	154	10866
14	154	10170
15	155	9562
16	156	9032
17	156	8560
18	157	8136
19	158	7753
20	159	7414
21	159	7099
22	160	6811
23	160	6546
24	161	6302
25	162	6079
26	163	5887
27	164	5695
28	164	5521
29	165	5356
30	166	5205
31	167	5060
32	168	4927
33	169	4801
34	169	4682
35	170	4571
36	171	4461
37	172	4358
38	173	4267
39	173	4173
40	174	4087
41	175	4005
42	176	3923
43	177	3846
44	177	3773
45	178	3703
46	179	3636
47	180	3574
48	181	3513
49	183	3484
50	184	3427
51	185	3372
52	185	3318
53	186	3266
54	187	3216
55	188	3170
56	188	3122
57	189	3078
58	190	3034
59	190	2990
60	191	2948
61	192	2907
62	192	2868
63	193	2829
64	194	2792
65	194	2755
66	195	2720
67	195	2685
68	196	2652
69	197	2619
70	197	2588
71	198	2557
72	199	2527
73	199	2498
74	200	2469
75	200	2442
76	201	2415
77	202	2389
78	202	2364
79	203	2338
80	203	2313
81	204	2290
82	204	2263
83	205	2241
84	206	2220
85	206	2198
86	207	2177
87	208	2157
88	208	2136
89	209	2116
90	210	2097
91	210	2078
92	211	2060
93	211	2042
94	212	2024
95	213	2006
96	213	1989
97	214	1973
98	215	1956
99	215	1940
100	216	1924
101	216	1908
102	217	1893
103	218	1879
104	218	1865
105	219	1850
106	220	1837
107	220	1823
108	221	1810
109	222	1797
110	222	1783
111	223	1771
112	224	1760
113	224	1748
114	225	1736
115	226	1725
116	226	1711
117	227	1700
118	228	1689
119	228	1677
120	229	1666
121	229	1654
122	230	1644
123	231	1633
124	231	1623
125	232	1614
126	233	1603
127	233	1593
128	234	1586
129	235	1576
130	236	1567
131	236	1558
132	237	1549
133	238	1540
134	239	1532
135	239	1523
136	240	1514
137	241	1505
138	241	1496
139	242	1487
140	242	1479
141	243	1469
142	243	1460
143	244	1452
144	244	1444
145	245	1436
146	246	1428
147	246	1420
148	247	1413
149	248	1406
150	249	1400
151	249	1392
152	250	1386
153	251	1379
154	251	1372
155	252	1365
156	253	1358
157	253	1352
158	254	1345
159	255	1338
160	255	1331
161	256	1325
162	256	1318
163	257	1312
164	258	1306
165	258	1300
166	259	1294
167	260	1289
168	261	1283
169	261	1278
170	262	1272
171	263	1267
172	264	1262
173	264	1256
174	265	1251
175	265	1245
176	266	1240
177	267	1234
178	268	1229
179	268	1223
180	269	1218
181	269	1213
182	270	1207
183	271	1202
184	271	1196
185	272	1191
186	272	1186
187	273	1181
188	274	1175
189	274	1170
190	275	1165
191	275	1161
192	276	1156
193	277	1151
194	277	1146
195	278	1142
196	279	1138
197	279	1133
198	280	1129
199	281	1125
200	281	1120
201	282	1115
202	283	1111
203	283	1107
204	284	1103
205	285	1098
206	285	1094
207	286	1090
208	286	1085
209	287	1081
210	288	1077
211	288	1073
212	289	1069
213	289	1064
214	290	1060
215	291	1056
216	291	1052
217	292	1048
218	292	1044
219	293	1040
220	294	1037
221	294	1033
222	295	1029
223	296	1025
224	296	1021
225	297	1017
